N, Insert, Lookup, Remove
8574,1.1324e-05,1.22e-07,3.742e-06
8575,1.1729e-05,1.28e-07,2.514e-06
8576,1.0534e-05,1.22e-07,4.131e-06
8577,2.1774e-05,1.25e-07,5.496e-06
8578,1.7057e-05,1.18e-07,5.93e-06
8579,1.2477e-05,1.21e-07,4.073e-06
8580,1.0548e-05,1.28e-07,2.923e-06
8581,8.872e-06,1.21e-07,3.291e-06
8582,1.2105e-05,1.28e-07,5.002e-06
8583,1.1942e-05,1.18e-07,4.547e-06
8584,1.3989e-05,1.19e-07,4.716e-06
8585,8.979e-06,1.2e-07,3.769e-06
8586,1.0979e-05,1.18e-07,2.943e-06
8587,7.149e-06,1.2e-07,3.379e-06
8588,1.4019e-05,1.2e-07,5.777e-06
8589,1.4356e-05,1.17e-07,2.097e-06
8590,1.3389e-05,1.23e-07,5.017e-06
8591,1.2571e-05,1.2e-07,5.864e-06
8592,1.072e-05,1.29e-07,4.837e-06
8593,1.2854e-05,1.21e-07,5.427e-06
8594,1.169e-05,1.25e-07,3.883e-06
8595,9.968e-06,1.21e-07,4.429e-06
8596,1.031e-05,1.24e-07,4.161e-06
8597,9.526e-06,1.2e-07,4.05e-06
8598,9.266e-06,1.2e-07,3.399e-06
8599,7.935e-06,1.23e-07,2.462e-06
8600,5.791e-06,1.18e-07,2.486e-06
8601,7.785e-06,1.17e-07,1.624e-06
8602,1.1827e-05,1.2e-07,3.136e-06
8603,1.2628e-05,1.2e-07,4.721e-06
8604,9.18e-06,1.22e-07,3.677e-06
8605,9.637e-06,1.23e-07,4.133e-06
8606,1.4224e-05,1.21e-07,4.998e-06
8607,1.2066e-05,1.21e-07,4.948e-06
8608,1.3302e-05,1.16e-07,5.949e-06
8609,1.5383e-05,1.22e-07,7.046e-06
8610,1.1709e-05,1.19e-07,2.164e-06
8611,1.0864e-05,1.22e-07,4.74e-06
8612,1.0852e-05,1.35e-07,4.118e-06
8613,1.0682e-05,1.33e-07,4.591e-06
8614,1.569e-05,1.27e-07,4.25e-06
8615,1.2421e-05,1.19e-07,5.07e-06
8616,1.5077e-05,1.19e-07,5.046e-06
8617,1.0123e-05,1.3e-07,3.853e-06
8618,8.995e-06,1.2e-07,4.254e-06
8619,1.0131e-05,1.2e-07,2.988e-06
8620,1.4526e-05,1.21e-07,3.898e-06
8621,1.2987e-05,1.22e-07,3.37e-06
8622,1.1858e-05,1.17e-07,3.808e-06
8623,7.48e-06,1.2e-07,2.489e-06
8624,1.1276e-05,1.22e-07,3.311e-06
8625,1.4261e-05,1.29e-07,6.05e-06
8626,9.771e-06,1.23e-07,3.808e-06
8627,1.3705e-05,1.19e-07,5.447e-06
8628,1.9966e-05,1.3e-07,5.959e-06
8629,9.382e-06,1.23e-07,3.022e-06
8630,6.86e-06,1.28e-07,1.798e-06
8631,1.842e-05,1.25e-07,7.864e-06
8632,1.5207e-05,1.18e-07,5.364e-06
8633,8.899e-06,1.23e-07,3.321e-06
8634,1.3611e-05,1.24e-07,4.466e-06
8635,1.1401e-05,1.19e-07,5.517e-06
8636,1.0996e-05,1.18e-07,4.257e-06
8637,1.1878e-05,1.22e-07,4.183e-06
8638,3.403e-06,1.34e-07,1.995e-06
8639,9.23e-06,1.2e-07,2.056e-06
8640,8.492e-06,1.21e-07,4.221e-06
8641,2.1004e-05,1.18e-07,7.061e-06
8642,7.704e-06,1.23e-07,3.764e-06
8643,1.1785e-05,1.28e-07,5.552e-06
8644,8.958e-06,1.21e-07,3.894e-06
8645,1.4291e-05,1.31e-07,3.788e-06
8646,1.102e-05,1.22e-07,5.198e-06
8647,1.4869e-05,1.2e-07,6.028e-06
8648,8.961e-06,1.23e-07,2.536e-06
8649,1.2566e-05,1.27e-07,4.122e-06
8650,1.0024e-05,1.21e-07,3.847e-06
8651,1.0248e-05,1.19e-07,2.542e-06
8652,9.453e-06,1.27e-07,4.075e-06
8653,1.006e-05,1.21e-07,3.704e-06
8654,1.0975e-05,1.21e-07,5.041e-06
8655,1.1157e-05,1.3e-07,3.098e-06
8656,1.2296e-05,1.22e-07,3.745e-06
8657,5.027e-06,1.21e-07,2.076e-06
8658,5.829e-06,1.22e-07,1.673e-06
8659,1.5168e-05,1.19e-07,4.682e-06
8660,8.457e-06,1.19e-07,3.358e-06
8661,1.2134e-05,1.23e-07,3.877e-06
8662,5.669e-06,1.28e-07,2.436e-06
8663,1.5104e-05,1.25e-07,6.902e-06
8664,1.7008e-05,1.23e-07,7.086e-06
8665,6.805e-06,1.24e-07,2.144e-06
8666,1.1817e-05,1.26e-07,3.954e-06
8667,1.3379e-05,1.18e-07,4.722e-06
8668,9.066e-06,1.22e-07,2.886e-06
8669,1.1435e-05,1.18e-07,3.818e-06
8670,9.816e-06,1.22e-07,3.472e-06
8671,8.559e-06,1.2e-07,2.53e-06
8672,4.785e-06,1.19e-07,1.699e-06
8673,9.639e-06,1.22e-07,3.302e-06
8674,1.1701e-05,1.21e-07,5.434e-06
8675,6.84e-06,1.22e-07,1.935e-06
8676,9.016e-06,1.23e-07,2.959e-06
8677,1.7343e-05,1.22e-07,4.631e-06
8678,7.884e-06,1.28e-07,3.468e-06
8679,1.422e-05,1.19e-07,2.486e-06
8680,1.1915e-05,1.19e-07,4.093e-06
8681,1.0204e-05,1.23e-07,3.335e-06
8682,1.4816e-05,1.22e-07,4.995e-06
8683,1.0987e-05,1.2e-07,3.709e-06
8684,1.1648e-05,1.2e-07,4.11e-06
8685,1.3135e-05,1.27e-07,4.615e-06
8686,1.4355e-05,1.2e-07,5.065e-06
8687,1.2887e-05,1.16e-07,3.754e-06
8688,1.1134e-05,1.31e-07,4.727e-06
8689,7.801e-06,1.29e-07,2.632e-06
8690,1.4677e-05,1.18e-07,5.476e-06
8691,1.201e-05,1.21e-07,4.607e-06
8692,9.401e-06,1.23e-07,4.07e-06
8693,1.0089e-05,1.2e-07,3.266e-06
8694,1.081e-05,1.34e-07,3.792e-06
8695,1.6337e-05,1.24e-07,6.53e-06
8696,1.4091e-05,1.2e-07,4.99e-06
8697,8.979e-06,1.21e-07,3.393e-06
8698,1.439e-05,1.2e-07,3.945e-06
8699,1.1469e-05,1.22e-07,4.511e-06
8700,9.003e-06,1.18e-07,4.448e-06
8701,7.972e-06,1.19e-07,2.634e-06
8702,8.206e-06,1.23e-07,3.427e-06
8703,7.694e-06,1.22e-07,3.333e-06
8704,1.3127e-05,1.21e-07,3.689e-06
8705,8.165e-06,1.19e-07,3.33e-06
8706,1.0183e-05,1.17e-07,4.566e-06
8707,1.4345e-05,1.22e-07,4.186e-06
8708,1.5592e-05,1.29e-07,6.117e-06
8709,1.2769e-05,1.21e-07,5.457e-06
8710,8.521e-06,1.29e-07,3.396e-06
8711,7.496e-06,1.26e-07,2.53e-06
8712,1.2749e-05,1.2e-07,6.052e-06
8713,1.6763e-05,1.22e-07,4.271e-06
8714,9.494e-06,1.2e-07,1.862e-06
8715,1.0882e-05,1.28e-07,4.042e-06
8716,1.3961e-05,1.18e-07,6.576e-06
8717,9.876e-06,1.35e-07,4.983e-06
8718,1.1052e-05,1.2e-07,4.212e-06
8719,1.4419e-05,1.22e-07,4.236e-06
8720,1.6091e-05,1.18e-07,6.451e-06
8721,1.3597e-05,1.21e-07,4.515e-06
8722,1.0533e-05,1.19e-07,2.521e-06
8723,9.026e-06,1.25e-07,1.747e-06
8724,7.534e-06,1.23e-07,2.393e-06
8725,1.1e-05,1.2e-07,4.146e-06
8726,7.137e-06,1.21e-07,2.543e-06
8727,1.6005e-05,1.22e-07,4.602e-06
8728,2.3866e-05,1.3e-07,5.602e-06
8729,2.0235e-05,1.29e-07,8.528e-06
8730,8.021e-06,1.2e-07,2.926e-06
8731,9.891e-06,1.23e-07,4.984e-06
8732,1.3628e-05,1.21e-07,3.018e-06
8733,9.492e-06,1.25e-07,3.882e-06
8734,1.1179e-05,1.31e-07,3.747e-06
8735,8.861e-06,1.23e-07,3.54e-06
8736,1.4194e-05,1.42e-07,5.14e-06
8737,1.7104e-05,1.26e-07,6.113e-06
8738,1.2189e-05,1.2e-07,4.556e-06
8739,8.355e-06,1.25e-07,2.359e-06
8740,1.8889e-05,1.19e-07,6.153e-06
8741,1.5053e-05,1.21e-07,3.746e-06
8742,9.253e-06,1.23e-07,2.216e-06
8743,1.4895e-05,1.17e-07,7.254e-06
8744,8.578e-06,1.21e-07,4.378e-06
8745,1.4309e-05,1.18e-07,3.841e-06
8746,1.3802e-05,1.23e-07,4.668e-06
8747,1.4301e-05,1.22e-07,4.91e-06
8748,1.1145e-05,1.22e-07,3.752e-06
8749,1.2238e-05,1.21e-07,5.239e-06
8750,1.0283e-05,1.21e-07,3.73e-06
8751,1.11e-05,1.26e-07,3.995e-06
8752,1.0426e-05,1.23e-07,3.297e-06
8753,1.0904e-05,1.23e-07,5.072e-06
8754,7.386e-06,1.23e-07,2.171e-06
8755,1.2305e-05,1.22e-07,5.065e-06
8756,1.277e-05,1.18e-07,4.414e-06
8757,1.395e-05,1.24e-07,4.509e-06
8758,1.0613e-05,1.23e-07,3.942e-06
8759,7.357e-06,1.28e-07,3.585e-06
8760,1.3378e-05,1.19e-07,3.857e-06
8761,9.957e-06,1.23e-07,4.493e-06
8762,1.0623e-05,1.2e-07,2.487e-06
8763,1.0213e-05,1.25e-07,4.601e-06
8764,5.985e-06,1.22e-07,2.521e-06
8765,1.7074e-05,1.18e-07,4.645e-06
8766,1.4947e-05,1.21e-07,5.729e-06
8767,1.263e-05,1.21e-07,4.926e-06
8768,1.1446e-05,1.25e-07,3.379e-06
8769,8.161e-06,1.31e-07,3.053e-06
8770,1.4075e-05,1.25e-07,5.374e-06
8771,1.1015e-05,1.2e-07,3.254e-06
8772,1.205e-05,1.3e-07,4.827e-06
8773,9.494e-06,1.24e-07,3.016e-06
8774,1.3065e-05,1.2e-07,4.347e-06
8775,9.492e-06,1.23e-07,3.428e-06
8776,5.952e-06,1.2e-07,2.448e-06
8777,9.517e-06,1.18e-07,2.867e-06
8778,1.2501e-05,1.24e-07,3.911e-06
8779,9.341e-06,1.2e-07,3.728e-06
8780,1.1117e-05,1.23e-07,3.126e-06
8781,8.716e-06,1.18e-07,2.629e-06
8782,1.4009e-05,1.29e-07,4.365e-06
8783,1.6805e-05,1.22e-07,3.753e-06
8784,1.0437e-05,1.22e-07,4.767e-06
8785,1.3649e-05,1.22e-07,5.009e-06
8786,8.988e-06,1.21e-07,3.882e-06
8787,1.2905e-05,1.24e-07,5.013e-06
8788,1.0975e-05,1.19e-07,4.721e-06
8789,4.479e-06,1.2e-07,2.154e-06
8790,1.7364e-05,1.22e-07,4.907e-06
8791,1.4785e-05,1.3e-07,5.037e-06
8792,1.2087e-05,1.38e-07,3.898e-06
8793,1.1154e-05,1.23e-07,4.989e-06
8794,1.0375e-05,1.2e-07,3.064e-06
8795,1.3913e-05,1.18e-07,6.435e-06
8796,8.008e-06,1.21e-07,3.038e-06
8797,8.475e-06,1.18e-07,4.213e-06
8798,1.2245e-05,1.21e-07,5.696e-06
8799,6.308e-06,1.2e-07,2.159e-06
8800,4.072e-06,1.26e-07,1.302e-06
8801,1.2645e-05,1.27e-07,5.942e-06
8802,2.215e-05,1.18e-07,4.138e-06
8803,6.723e-06,1.19e-07,2.089e-06
8804,8.8e-06,1.2e-07,3.33e-06
8805,1.1118e-05,1.29e-07,4.647e-06
8806,5.838e-06,1.2e-07,2.11e-06
8807,1.0438e-05,1.21e-07,4.154e-06
8808,1.1805e-05,1.26e-07,4.884e-06
8809,1.2406e-05,1.27e-07,3.051e-06
8810,5.747e-06,1.2e-07,1.696e-06
8811,1.4993e-05,1.28e-07,4.91e-06
8812,9.508e-06,1.31e-07,3.547e-06
8813,1.1662e-05,1.26e-07,4.554e-06
8814,9.036e-06,1.19e-07,3.783e-06
8815,1.8052e-05,1.22e-07,3.797e-06
8816,7.277e-06,1.33e-07,2.996e-06
8817,9.835e-06,1.26e-07,3.444e-06
8818,7.735e-06,1.18e-07,3.575e-06
8819,1.0978e-05,1.19e-07,4.521e-06
8820,8.144e-06,1.25e-07,3.384e-06
8821,1.4322e-05,1.25e-07,5.15e-06
8822,1.1655e-05,1.23e-07,3.001e-06
8823,1.1203e-05,1.19e-07,3.2e-06
8824,1.1653e-05,1.3e-07,5.064e-06
8825,1.0588e-05,1.23e-07,2.991e-06
8826,1.2942e-05,1.27e-07,5.06e-06
8827,1.0372e-05,1.18e-07,3.759e-06
8828,1.1279e-05,1.21e-07,4.154e-06
8829,8.314e-06,1.18e-07,2.994e-06
8830,8.311e-06,1.29e-07,1.928e-06
8831,1.5065e-05,1.17e-07,5.649e-06
8832,8.421e-06,1.2e-07,3.376e-06
8833,5.042e-06,1.3e-07,1.957e-06
8834,1.5547e-05,1.18e-07,5.978e-06
8835,1.1389e-05,1.22e-07,5.208e-06
8836,1.4259e-05,1.2e-07,3.242e-06
8837,1.3832e-05,1.21e-07,5.957e-06
8838,1.3244e-05,1.2e-07,3.073e-06
8839,1.0075e-05,1.23e-07,3.94e-06
8840,1.1211e-05,1.28e-07,3.385e-06
8841,1.9549e-05,1.16e-07,7.048e-06
8842,8.866e-06,1.18e-07,2.936e-06
8843,1.1908e-05,1.16e-07,4.425e-06
8844,7.072e-06,1.18e-07,2.125e-06
8845,1.085e-05,1.25e-07,3.699e-06
8846,1.243e-05,1.2e-07,5.449e-06
8847,1.0332e-05,1.21e-07,3.693e-06
8848,6.999e-06,1.23e-07,2.959e-06
8849,9.688e-06,1.29e-07,4.644e-06
8850,1.4469e-05,1.2e-07,3.5e-06
8851,4.732e-06,1.24e-07,2.101e-06
8852,1.5684e-05,1.19e-07,5.838e-06
8853,1.1884e-05,1.2e-07,3.794e-06
8854,1.1215e-05,1.19e-07,4.165e-06
8855,8.043e-06,1.2e-07,2.634e-06
8856,1.4027e-05,1.2e-07,2.934e-06
8857,1.233e-05,1.25e-07,5.365e-06
8858,1.4828e-05,1.18e-07,4.568e-06
8859,6.185e-06,1.22e-07,2.36e-06
8860,1.2952e-05,1.22e-07,5.018e-06
8861,1.2581e-05,1.15e-07,3.046e-06
8862,7.749e-06,1.21e-07,2.867e-06
8863,7.511e-06,1.2e-07,3.691e-06
8864,1.344e-05,1.22e-07,5.412e-06
8865,1.5503e-05,1.3e-07,4.827e-06
8866,8.53e-06,1.25e-07,2.979e-06
8867,1.5768e-05,1.23e-07,6.545e-06
8868,2.006e-05,1.24e-07,5.455e-06
8869,9.109e-06,1.2e-07,3.281e-06
8870,1.3141e-05,1.29e-07,4.902e-06
8871,1.1533e-05,1.18e-07,5.324e-06
8872,7.707e-06,1.2e-07,2.611e-06
8873,1.131e-05,1.17e-07,2.878e-06
8874,1.0122e-05,1.21e-07,4.043e-06
8875,1.0564e-05,1.23e-07,4.572e-06
8876,8.887e-06,1.23e-07,3.397e-06
8877,1.2179e-05,1.23e-07,4.676e-06
8878,1.4624e-05,1.21e-07,6.49e-06
8879,1.1443e-05,1.23e-07,3.989e-06
8880,1.3615e-05,1.21e-07,4.174e-06
8881,8.4e-06,1.15e-07,2.955e-06
8882,1.1855e-05,1.26e-07,4.156e-06
8883,1.9141e-05,1.2e-07,6.573e-06
8884,8.614e-06,1.19e-07,3.545e-06
8885,1.1333e-05,1.22e-07,3.792e-06
8886,1.3236e-05,1.21e-07,5.178e-06
8887,1.4099e-05,1.2e-07,1.745e-06
8888,1.0245e-05,1.18e-07,4.172e-06
8889,1.1733e-05,1.2e-07,4.112e-06
8890,1.2088e-05,1.23e-07,5.333e-06
8891,1.2527e-05,1.25e-07,5.596e-06
8892,6.276e-06,1.26e-07,2.956e-06
8893,8.989e-06,1.25e-07,4.375e-06
8894,1.5072e-05,1.24e-07,2.998e-06
8895,1.2069e-05,1.21e-07,4.874e-06
8896,1.2253e-05,1.18e-07,4.627e-06
8897,7.601e-06,1.25e-07,3.656e-06
8898,1.1285e-05,1.22e-07,4.072e-06
8899,1.1744e-05,1.22e-07,3.731e-06
8900,1.0543e-05,1.26e-07,3.4e-06
8901,4.942e-06,1.32e-07,1.705e-06
8902,1.5326e-05,1.22e-07,5.471e-06
8903,9.009e-06,1.21e-07,2.98e-06
8904,1.1214e-05,1.26e-07,5.042e-06
8905,1.4891e-05,1.25e-07,5.296e-06
8906,1.3675e-05,1.2e-07,5.415e-06
8907,1.1726e-05,1.32e-07,4.373e-06
8908,9.41e-06,1.19e-07,2.962e-06
8909,6.28e-06,1.22e-07,2.105e-06
8910,1.3483e-05,1.32e-07,3.581e-06
8911,7.691e-06,1.3e-07,4.48e-06
8912,1.0606e-05,1.23e-07,3.681e-06
8913,1.1206e-05,1.18e-07,5.51e-06
8914,9.566e-06,1.18e-07,2.136e-06
8915,1.2849e-05,1.26e-07,5.351e-06
8916,9.775e-06,1.2e-07,4.139e-06
8917,1.2806e-05,1.29e-07,5.068e-06
8918,1.4233e-05,1.16e-07,5.392e-06
8919,1.4615e-05,1.3e-07,5.872e-06
8920,1.4563e-05,1.26e-07,4.184e-06
8921,9.826e-06,1.19e-07,5.011e-06
8922,1.3859e-05,1.24e-07,5.261e-06
8923,1.299e-05,1.4e-07,5.742e-06
8924,1.0317e-05,1.23e-07,3.753e-06
8925,1.4763e-05,1.24e-07,5.929e-06
8926,1.1175e-05,1.23e-07,3.495e-06
8927,5.45e-06,1.34e-07,2.181e-06
8928,9.308e-06,1.23e-07,3.834e-06
8929,1.1748e-05,1.27e-07,4.116e-06
8930,1.2135e-05,1.19e-07,3.359e-06
8931,9.792e-06,1.2e-07,3.648e-06
8932,1.0809e-05,1.18e-07,3.292e-06
8933,1.4585e-05,1.17e-07,5.378e-06
8934,9.003e-06,1.18e-07,2.796e-06
8935,1.0528e-05,1.2e-07,3.488e-06
8936,1.0587e-05,1.24e-07,4.611e-06
8937,1.281e-05,1.24e-07,5.792e-06
8938,1.5813e-05,1.3e-07,5.153e-06
8939,1.5558e-05,1.2e-07,4.17e-06
8940,1.2096e-05,1.15e-07,5.022e-06
8941,1.3341e-05,1.24e-07,4.876e-06
8942,1.4732e-05,1.2e-07,5.753e-06
8943,9.152e-06,1.2e-07,3.846e-06
8944,1.0924e-05,1.21e-07,5.566e-06
8945,8.264e-06,1.17e-07,2.188e-06
8946,1.4813e-05,1.23e-07,4.926e-06
8947,1.0367e-05,1.21e-07,2.456e-06
8948,1.2428e-05,1.21e-07,5.702e-06
8949,7.832e-06,1.24e-07,2.567e-06
8950,1.0891e-05,1.2e-07,4.228e-06
8951,1.2631e-05,1.22e-07,4.904e-06
8952,9.308e-06,1.17e-07,3.744e-06
8953,1.9531e-05,1.23e-07,7.431e-06
8954,1.2137e-05,1.28e-07,5.148e-06
8955,1.2098e-05,1.2e-07,4.05e-06
8956,1.2812e-05,1.28e-07,5.287e-06
8957,1.3809e-05,1.21e-07,4.611e-06
8958,9.694e-06,1.39e-07,2.672e-06
8959,8.826e-06,1.19e-07,3.827e-06
8960,6.974e-06,1.21e-07,3.375e-06
8961,1.4839e-05,1.19e-07,3.437e-06
8962,1.2632e-05,1.22e-07,3.337e-06
8963,8.26e-06,1.19e-07,3.991e-06
8964,1.1022e-05,1.16e-07,3.373e-06
8965,1.367e-05,1.17e-07,5.66e-06
8966,8.881e-06,1.19e-07,2.469e-06
8967,1.2544e-05,1.17e-07,4.632e-06
8968,7.53e-06,1.22e-07,3.526e-06
8969,1.0779e-05,1.2e-07,2.934e-06
8970,1.4325e-05,1.22e-07,9.7e-07
8971,1.3358e-05,1.22e-07,5.023e-06
8972,1.2921e-05,1.28e-07,4.71e-06
8973,1.5623e-05,1.19e-07,6.171e-06
8974,9.949e-06,1.22e-07,3.493e-06
8975,1.1026e-05,1.29e-07,3.603e-06
8976,1.7863e-05,1.18e-07,7.566e-06
8977,1.0464e-05,1.2e-07,3.648e-06
8978,9.241e-06,1.22e-07,3.527e-06
8979,1.0607e-05,1.23e-07,3.71e-06
8980,1.6269e-05,1.28e-07,6.388e-06
8981,7.388e-06,1.2e-07,2.949e-06
8982,8.604e-06,1.2e-07,3.273e-06
8983,9.156e-06,1.19e-07,2.543e-06
8984,2.0261e-05,1.21e-07,6.942e-06
8985,1.3434e-05,1.23e-07,4.401e-06
8986,1.3439e-05,1.23e-07,5.507e-06
8987,9.315e-06,1.21e-07,2.513e-06
8988,1.8254e-05,1.27e-07,6.59e-06
8989,9.517e-06,1.24e-07,5.011e-06
8990,1.1257e-05,1.22e-07,3.723e-06
8991,8.529e-06,1.2e-07,3.697e-06
8992,1.3771e-05,1.17e-07,4.184e-06
8993,1.3135e-05,1.24e-07,4.128e-06
8994,4.232e-06,1.27e-07,1.786e-06
8995,1.268e-05,1.28e-07,5.802e-06
8996,1.5688e-05,1.27e-07,3.783e-06
8997,1.0307e-05,1.21e-07,4.771e-06
8998,6.002e-06,1.21e-07,2.204e-06
8999,8.086e-06,1.22e-07,2.519e-06
9000,8.087e-06,1.22e-07,2.957e-06
9001,1.265e-05,1.24e-07,4.595e-06
9002,1.3071e-05,1.21e-07,3.269e-06
9003,1.0619e-05,1.21e-07,4.186e-06
9004,9.262e-06,1.21e-07,1.872e-06
9005,9.181e-06,1.23e-07,3.55e-06
9006,1.2228e-05,1.2e-07,4.972e-06
9007,1.0776e-05,1.27e-07,4.145e-06
9008,7.781e-06,1.3e-07,2.113e-06
9009,1.7574e-05,1.21e-07,6.796e-06
9010,1.347e-05,1.22e-07,4.119e-06
9011,1.502e-05,1.17e-07,4.386e-06
9012,1.4154e-05,1.19e-07,5.255e-06
9013,7.626e-06,1.22e-07,1.347e-06
9014,9.522e-06,1.36e-07,3.682e-06
9015,1.015e-05,1.28e-07,5.331e-06
9016,1.413e-05,1.21e-07,4.928e-06
9017,1.0913e-05,1.21e-07,3.782e-06
9018,9.222e-06,1.2e-07,3.609e-06
9019,1.0816e-05,1.17e-07,2.544e-06
9020,8.469e-06,1.22e-07,4.133e-06
9021,7.645e-06,1.23e-07,3.64e-06
9022,1.2677e-05,1.17e-07,2.993e-06
9023,1.0581e-05,1.2e-07,4.735e-06
9024,9.724e-06,1.23e-07,2.134e-06
9025,1.2225e-05,1.27e-07,4.535e-06
9026,1.4404e-05,1.23e-07,5.19e-06
9027,6.676e-06,1.21e-07,2.144e-06
9028,1.4349e-05,1.22e-07,3.275e-06
9029,3.596e-06,1.41e-07,1.448e-06
9030,1.6439e-05,1.22e-07,6.572e-06
9031,1.3266e-05,1.2e-07,5.322e-06
9032,4.422e-06,1.19e-07,1.714e-06
9033,1.3281e-05,1.21e-07,6.599e-06
9034,1.4408e-05,1.22e-07,6.452e-06
9035,1.1995e-05,1.29e-07,3.017e-06
9036,1.3016e-05,1.34e-07,4.836e-06
9037,2.0032e-05,1.25e-07,7.026e-06
9038,1.4195e-05,1.18e-07,5.074e-06
9039,1.625e-05,1.22e-07,6.636e-06
9040,1.1874e-05,1.24e-07,2.5e-06
9041,1.3661e-05,1.25e-07,4.594e-06
9042,1.1281e-05,1.23e-07,4.789e-06
9043,1.1387e-05,1.3e-07,2.948e-06
9044,1.1431e-05,1.25e-07,4.098e-06
9045,2.1849e-05,1.15e-07,6.626e-06
9046,9.98e-06,1.17e-07,3.923e-06
9047,9.346e-06,1.26e-07,4.568e-06
9048,1.3471e-05,1.28e-07,3.615e-06
9049,8.035e-06,1.23e-07,2.582e-06
9050,1.0273e-05,1.22e-07,3.802e-06
9051,2.4872e-05,1.3e-07,3.62e-06
9052,1.3534e-05,1.29e-07,5.664e-06
9053,5.368e-06,1.26e-07,1.866e-06
9054,8.181e-06,1.22e-07,3.072e-06
9055,1.1953e-05,1.24e-07,4.99e-06
9056,1.6661e-05,1.21e-07,3.311e-06
9057,8.495e-06,1.2e-07,3.342e-06
9058,1.4255e-05,1.29e-07,4.033e-06
9059,1.3081e-05,1.22e-07,5.098e-06
9060,1.0444e-05,1.28e-07,3.773e-06
9061,8.127e-06,1.2e-07,2.98e-06
9062,1.1038e-05,1.25e-07,5.534e-06
9063,1.3008e-05,1.24e-07,4.154e-06
9064,1.3247e-05,1.21e-07,4.177e-06
9065,1.086e-05,1.22e-07,5.659e-06
9066,1.1021e-05,1.21e-07,4.935e-06
9067,8.161e-06,1.2e-07,2.957e-06
9068,1.3699e-05,1.23e-07,3.646e-06
9069,8.118e-06,1.2e-07,2.487e-06
9070,8.576e-06,1.2e-07,3.746e-06
9071,1.0041e-05,1.2e-07,4.214e-06
9072,8.274e-06,1.27e-07,4.271e-06
9073,1.0802e-05,1.22e-07,4.528e-06
9074,1.6526e-05,1.24e-07,6.057e-06
9075,1.2351e-05,1.2e-07,5.393e-06
9076,8.999e-06,1.19e-07,2.988e-06
9077,1.0545e-05,1.21e-07,3.453e-06
9078,1.5795e-05,1.19e-07,5.059e-06
9079,6.656e-06,1.21e-07,1.662e-06
9080,1.4054e-05,1.2e-07,4.572e-06
9081,7.659e-06,1.25e-07,3.591e-06
9082,1.2336e-05,1.28e-07,3.81e-06
9083,7.158e-06,1.27e-07,2.285e-06
9084,1.0621e-05,1.29e-07,3.447e-06
9085,1.259e-05,1.22e-07,2.423e-06
9086,1.3831e-05,1.26e-07,6.27e-06
9087,9.96e-06,1.26e-07,4.972e-06
9088,1.246e-05,1.22e-07,3.784e-06
9089,6.386e-06,1.22e-07,3.274e-06
9090,1.4375e-05,1.23e-07,3.327e-06
9091,1.0879e-05,1.18e-07,4.413e-06
9092,1.3513e-05,1.29e-07,3.954e-06
9093,1.7283e-05,1.25e-07,7.028e-06
9094,1.0357e-05,1.24e-07,5.085e-06
9095,1.2625e-05,1.23e-07,5.06e-06
9096,1.1889e-05,1.19e-07,2.111e-06
9097,1.2148e-05,1.22e-07,4.415e-06
9098,1.1646e-05,1.2e-07,4.177e-06
9099,1.0048e-05,1.23e-07,3.42e-06
9100,6.942e-06,1.3e-07,1.43e-06
9101,1.409e-05,1.23e-07,6.23e-06
9102,1.4807e-05,1.22e-07,5.846e-06
9103,7.201e-06,1.22e-07,3.956e-06
9104,1.8012e-05,1.22e-07,7.652e-06
9105,1.1542e-05,1.29e-07,3.865e-06
9106,8.924e-06,1.19e-07,4.902e-06
9107,9.91e-06,1.23e-07,3.481e-06
9108,1.6584e-05,1.22e-07,5.629e-06
9109,8.819e-06,1.26e-07,3.822e-06
9110,1.4685e-05,1.22e-07,5.35e-06
9111,1.666e-05,1.25e-07,4.935e-06
9112,1.2182e-05,1.26e-07,4.804e-06
9113,1.1525e-05,1.28e-07,5.121e-06
9114,1.8007e-05,1.19e-07,6.666e-06
9115,4.288e-06,1.3e-07,1.79e-06
9116,1.3007e-05,1.23e-07,3.905e-06
9117,1.4223e-05,1.2e-07,5.724e-06
9118,1.2789e-05,1.22e-07,5.445e-06
9119,9.062e-06,1.2e-07,3.644e-06
9120,9.051e-06,1.22e-07,3.342e-06
9121,9.041e-06,1.32e-07,2.565e-06
9122,1.0183e-05,1.21e-07,4.458e-06
9123,6.56e-06,1.22e-07,2.137e-06
9124,1.2106e-05,1.23e-07,2.503e-06
9125,8.918e-06,1.21e-07,2.886e-06
9126,8.001e-06,1.21e-07,2.978e-06
9127,1.2392e-05,1.22e-07,3.36e-06
9128,1.0357e-05,1.19e-07,4.22e-06
9129,5.278e-06,1.24e-07,2.159e-06
9130,1.3549e-05,1.18e-07,5.257e-06
9131,1.1955e-05,1.22e-07,3.424e-06
9132,7.27e-06,1.3e-07,2.95e-06
9133,1.0708e-05,1.22e-07,3.243e-06
9134,7.443e-06,1.23e-07,3.217e-06
9135,1.2834e-05,1.28e-07,6.044e-06
9136,1.0069e-05,1.21e-07,3.815e-06
9137,9.532e-06,1.27e-07,4.264e-06
9138,1.2396e-05,1.24e-07,2.918e-06
9139,8.571e-06,1.18e-07,4.143e-06
9140,9.503e-06,1.22e-07,4.324e-06
9141,1.2669e-05,1.22e-07,3.354e-06
