N, Insert, Lookup, Remove
138,7.763e-06,1.2e-07,1.245e-06
139,6.749e-06,1.21e-07,3.512e-06
140,4.472e-06,1.2e-07,2.136e-06
141,5.261e-06,1.18e-07,1.712e-06
142,8.595e-06,1.28e-07,4.072e-06
143,5.314e-06,1.18e-07,1.282e-06
144,5.78e-06,1.23e-07,2.603e-06
145,8.085e-06,1.18e-07,3.444e-06
146,4.8e-06,1.23e-07,2.132e-06
147,6.452e-06,1.24e-07,2.537e-06
148,6.515e-06,1.24e-07,1.678e-06
149,4.199e-06,1.19e-07,1.629e-06
150,7.296e-06,1.23e-07,1.875e-06
151,5.049e-06,1.21e-07,2.544e-06
152,7.562e-06,1.23e-07,2.563e-06
153,3.743e-06,1.22e-07,9.14e-07
154,5.571e-06,1.24e-07,2.955e-06
155,6.1e-06,1.23e-07,2.092e-06
156,5.045e-06,1.22e-07,1.229e-06
157,4.825e-06,1.23e-07,1.64e-06
158,3.81e-06,1.18e-07,1.747e-06
159,4.967e-06,1.21e-07,2.383e-06
160,5.34e-06,1.21e-07,2.536e-06
161,4.476e-06,1.2e-07,2.129e-06
162,9.091e-06,1.19e-07,4.226e-06
163,1.0931e-05,1.17e-07,1.682e-06
164,4.147e-06,1.22e-07,1.874e-06
165,5.646e-06,1.21e-07,1.661e-06
166,5.543e-06,1.2e-07,9.23e-07
167,7.955e-06,1.19e-07,3.301e-06
168,7.842e-06,1.2e-07,2.185e-06
169,3.894e-06,1.19e-07,1.243e-06
170,5.887e-06,1.21e-07,3.4e-06
171,7.707e-06,1.24e-07,3.337e-06
172,6.845e-06,1.27e-07,2.197e-06
173,5.773e-06,1.22e-07,2.493e-06
174,6.199e-06,1.21e-07,9.65e-07
175,5.635e-06,1.19e-07,2.177e-06
176,8.596e-06,1.17e-07,3.992e-06
177,5.38e-06,1.19e-07,2.547e-06
178,4.035e-06,1.17e-07,2.14e-06
179,5.334e-06,1.23e-07,1.855e-06
180,4.278e-06,1.36e-07,1.372e-06
181,8.462e-06,1.24e-07,2.074e-06
182,6.097e-06,1.22e-07,2.939e-06
183,3.923e-06,1.25e-07,1.286e-06
184,5.421e-06,1.25e-07,2.135e-06
185,6.38e-06,1.24e-07,2.928e-06
186,6.18e-06,1.22e-07,2.895e-06
187,6.764e-06,1.22e-07,2.417e-06
188,7.905e-06,1.19e-07,2.152e-06
189,5.402e-06,1.19e-07,1.645e-06
190,3.551e-06,1.22e-07,2.128e-06
191,4.974e-06,1.22e-07,2.144e-06
192,3.852e-06,1.23e-07,2.11e-06
193,5.378e-06,1.21e-07,1.418e-06
194,4.136e-06,1.19e-07,1.735e-06
195,3.549e-06,1.17e-07,2.122e-06
196,3.044e-06,1.25e-07,9.21e-07
197,7.001e-06,1.19e-07,2.969e-06
198,4.871e-06,1.18e-07,2.378e-06
199,9.496e-06,1.23e-07,4.306e-06
200,7.477e-06,1.19e-07,2.038e-06
201,5.279e-06,1.22e-07,2.95e-06
202,8.153e-06,1.18e-07,1.261e-06
203,4.996e-06,1.23e-07,1.744e-06
204,5.601e-06,1.26e-07,2.719e-06
205,5.448e-06,1.33e-07,1.317e-06
206,4.342e-06,1.3e-07,2.154e-06
207,5.411e-06,1.25e-07,1.818e-06
208,6.306e-06,1.19e-07,2.482e-06
209,6.4e-06,1.19e-07,9.02e-07
210,6.437e-06,1.29e-07,3.583e-06
211,8.753e-06,1.2e-07,2.013e-06
212,8.308e-06,1.19e-07,4.283e-06
213,7.514e-06,1.27e-07,2.08e-06
214,6.428e-06,1.23e-07,3.084e-06
215,5.789e-06,1.32e-07,1.814e-06
216,6.501e-06,1.17e-07,8.14e-07
217,9.518e-06,1.21e-07,3.932e-06
218,6.551e-06,1.19e-07,2.092e-06
219,8.355e-06,1.24e-07,2.922e-06
220,3.093e-06,1.26e-07,1.763e-06
221,4.717e-06,1.22e-07,1.245e-06
222,5.947e-06,1.35e-07,3.401e-06
223,7.466e-06,1.27e-07,3.479e-06
224,7.991e-06,1.19e-07,1.699e-06
225,4.789e-06,1.21e-07,1.68e-06
226,4.922e-06,1.31e-07,2.706e-06
227,7.68e-06,1.23e-07,2.391e-06
228,4.276e-06,1.44e-07,2.257e-06
229,4.803e-06,1.29e-07,2.408e-06
230,1.088e-05,1.19e-07,3.347e-06
231,3.418e-06,1.25e-07,1.733e-06
232,3.873e-06,1.22e-07,1.308e-06
233,8.451e-06,1.21e-07,3.362e-06
234,5.362e-06,1.24e-07,1.588e-06
235,7.355e-06,1.29e-07,1.681e-06
236,4.219e-06,1.19e-07,2.481e-06
237,5.573e-06,1.21e-07,2.55e-06
238,1.0036e-05,1.21e-07,2.906e-06
239,4.96e-06,1.21e-07,2.19e-06
240,8.53e-06,1.26e-07,2.899e-06
241,1.0479e-05,1.25e-07,3.416e-06
242,4.794e-06,1.15e-07,2.381e-06
243,5.339e-06,1.24e-07,2.982e-06
244,5.571e-06,1.22e-07,2.463e-06
245,4.431e-06,1.19e-07,1.764e-06
